global_sequence,review_batch,batch_sequence,review_tier,record_id,headword_candidate,normalized,part_of_speech,entry_type,source_page_approx,ocr_confidence,existing_master,verification_status,human_review_required
1,n1906-001,1,0:existing-master-upgrade,kha-n1906-001377,nga,nga,pronoun,word,87,0.975,yes,pending,yes
2,n1906-001,2,1:simple-historical-word,kha-n1906-000001,ab,ab,interjection,word,5,0.975,no,pending,yes
3,n1906-001,3,1:simple-historical-word,kha-n1906-000002,abir,abir,noun,word,6,0.975,no,pending,yes
4,n1906-001,4,1:simple-historical-word,kha-n1906-000006,adda,adda,noun,word,6,0.975,no,pending,yes
5,n1906-001,5,1:simple-historical-word,kha-n1906-000007,ade,ade,adverb,word,6,0.975,no,pending,yes
6,n1906-001,6,1:simple-historical-word,kha-n1906-000008,ado,ado,interjection,word,6,0.975,no,pending,yes
7,n1906-001,7,1:simple-historical-word,kha-n1906-000010,ahor,ahor,noun,word,6,0.975,no,pending,yes
8,n1906-001,8,1:simple-historical-word,kha-n1906-000003,ak,ak,interjection,word,6,0.975,no,pending,yes
9,n1906-001,9,1:simple-historical-word,kha-n1906-000004,aku,aku,interjection,word,6,0.975,no,pending,yes
10,n1906-001,10,1:simple-historical-word,kha-n1906-000030,alhia,alhia,adjective,word,8,0.950,no,pending,yes
11,n1906-001,11,1:simple-historical-word,kha-n1906-000031,along,along,noun,word,8,0.975,no,pending,yes
12,n1906-001,12,1:simple-historical-word,kha-n1906-000034,amrang,amrang,noun,word,8,0.975,no,pending,yes
13,n1906-001,13,1:simple-historical-word,kha-n1906-000035,ana,ana,noun,word,8,0.975,no,pending,yes
14,n1906-001,14,1:simple-historical-word,kha-n1906-000009,angret,angret,noun,word,6,0.975,no,pending,yes
15,n1906-001,15,1:simple-historical-word,kha-n1906-000036,ani,ani,interjection,word,8,0.975,no,pending,yes
16,n1906-001,16,1:simple-historical-word,kha-n1906-000038,antad,antad,verb,word,8,0.975,no,pending,yes
17,n1906-001,17,1:simple-historical-word,kha-n1906-000039,antra,antra,noun,word,8,0.975,no,pending,yes
18,n1906-001,18,1:simple-historical-word,kha-n1906-000042,ar,ar,adjective,word,9,0.975,no,pending,yes
19,n1906-001,19,1:simple-historical-word,kha-n1906-000045,arbaliang,arbaliang,adjective,word,9,0.975,no,pending,yes
20,n1906-001,20,1:simple-historical-word,kha-n1906-000043,arban,arban,adjective,word,9,0.975,no,pending,yes
21,n1906-001,21,1:simple-historical-word,kha-n1906-000044,arbriew,arbriew,noun,word,9,0.975,no,pending,yes
22,n1906-001,22,1:simple-historical-word,kha-n1906-000046,arbud,arbud,adjective,word,9,0.975,no,pending,yes
23,n1906-001,23,1:simple-historical-word,kha-n1906-000050,ardeng,ardeng,noun,word,9,0.975,no,pending,yes
24,n1906-001,24,1:simple-historical-word,kha-n1906-000052,ari,ari,interjection,word,9,0.975,no,pending,yes
25,n1906-001,25,1:simple-historical-word,kha-n1906-000047,arkhap,arkhap,noun,word,9,0.975,no,pending,yes
26,n1906-001,26,1:simple-historical-word,kha-n1906-000048,arkhep,arkhep,noun,word,9,0.975,no,pending,yes
27,n1906-001,27,1:simple-historical-word,kha-n1906-000049,arklur,arklur,noun,word,9,0.975,no,pending,yes
28,n1906-001,28,1:simple-historical-word,kha-n1906-000054,arlak,arlak,noun,word,9,0.975,no,pending,yes
29,n1906-001,29,1:simple-historical-word,kha-n1906-000055,arliang,arliang,noun,word,9,0.975,no,pending,yes
30,n1906-001,30,1:simple-historical-word,kha-n1906-000051,arngat,arngat,adjective,word,9,0.975,no,pending,yes
31,n1906-001,31,1:simple-historical-word,kha-n1906-000057,arpateng,arpateng,noun,word,9,0.975,no,pending,yes
32,n1906-001,32,1:simple-historical-word,kha-n1906-000058,arphew,arphew,adjective,word,9,0.975,no,pending,yes
33,n1906-001,33,1:simple-historical-word,kha-n1906-000059,arpiah,arpiah,noun,word,9,0.975,no,pending,yes
34,n1906-001,34,1:simple-historical-word,kha-n1906-000060,arsap,arsap,adjective,word,9,0.975,no,pending,yes
35,n1906-001,35,1:simple-historical-word,kha-n1906-000062,arsh'ing,arsh'ing,noun,word,9,0.975,no,pending,yes
36,n1906-001,36,1:simple-historical-word,kha-n1906-000061,arshah,arshah,adverb,word,9,0.975,no,pending,yes
37,n1906-001,37,1:simple-historical-word,kha-n1906-000063,arsut,arsut,adverb,word,9,0.975,no,pending,yes
38,n1906-001,38,1:simple-historical-word,kha-n1906-000064,artatien,artatien,adjective,word,10,0.975,no,pending,yes
39,n1906-001,39,1:simple-historical-word,kha-n1906-000065,arwat,arwat,adverb,word,10,0.975,no,pending,yes
40,n1906-001,40,1:simple-historical-word,kha-n1906-000066,asbab,asbab,noun,word,10,0.975,no,pending,yes
41,n1906-001,41,1:simple-historical-word,kha-n1906-000067,asir,asir,noun,word,10,0.975,no,pending,yes
42,n1906-001,42,1:simple-historical-word,kha-n1906-000068,astor,astor,noun,word,10,0.975,no,pending,yes
43,n1906-001,43,1:simple-historical-word,kha-n1906-000069,ata,ata,noun,word,10,0.975,no,pending,yes
44,n1906-001,44,1:simple-historical-word,kha-n1906-000070,atad,atad,noun,word,10,0.975,no,pending,yes
45,n1906-001,45,1:simple-historical-word,kha-n1906-000072,atbylliang,atbylliang,noun,word,10,0.975,no,pending,yes
46,n1906-001,46,1:simple-historical-word,kha-n1906-000073,atjalyngkhiang,atjalyngkhiang,noun,word,10,0.975,no,pending,yes
47,n1906-001,47,1:simple-historical-word,kha-n1906-000074,atlyngkding,atlyngkding,verb,word,10,0.975,no,pending,yes
48,n1906-001,48,1:simple-historical-word,kha-n1906-000075,atmiang,atmiang,verb,word,10,0.975,no,pending,yes
49,n1906-001,49,1:simple-historical-word,kha-n1906-000080,ator,ator,noun,word,10,0.975,no,pending,yes
50,n1906-001,50,1:simple-historical-word,kha-n1906-000081,atoskhana,atoskhana,noun,word,10,0.975,no,pending,yes
51,n1906-001,51,1:simple-historical-word,kha-n1906-000079,atsohkhliang,atsohkhliang,verb,word,10,0.975,no,pending,yes
52,n1906-001,52,1:simple-historical-word,kha-n1906-000082,awria,awria,adjective,word,10,0.975,no,pending,yes
53,n1906-001,53,1:simple-historical-word,kha-n1906-000272,b'ymdei,b'ymdei,adjective,word,23,0.975,no,pending,yes
54,n1906-001,54,1:simple-historical-word,kha-n1906-000273,b'ymjukut,b'ymjukut,adjective,word,23,0.975,no,pending,yes
55,n1906-001,55,1:simple-historical-word,kha-n1906-000274,b'ymler,b'ymler,adjective,word,23,0.975,no,pending,yes
56,n1906-001,56,1:simple-historical-word,kha-n1906-000083,ba,ba,conjunction,word,11,0.975,no,pending,yes
57,n1906-001,57,1:simple-historical-word,kha-n1906-000084,babe,babe,verb,word,11,0.975,no,pending,yes
58,n1906-001,58,1:simple-historical-word,kha-n1906-000085,babha,babha,adjective,word,11,0.950,no,pending,yes
59,n1906-001,59,1:simple-historical-word,kha-n1906-000086,baborshi,baborshi,noun,word,11,0.975,no,pending,yes
60,n1906-001,60,1:simple-historical-word,kha-n1906-000093,bad,bad,conjunction,word,11,0.975,no,pending,yes
61,n1906-001,61,1:simple-historical-word,kha-n1906-000094,baden,baden,noun,word,11,0.975,no,pending,yes
62,n1906-001,62,1:simple-historical-word,kha-n1906-000149,bafan,bafan,noun,word,15,0.975,no,pending,yes
63,n1906-001,63,1:simple-historical-word,kha-n1906-000099,bahkhala,bahkhala,verb,word,12,0.975,no,pending,yes
64,n1906-001,64,1:simple-historical-word,kha-n1906-000100,bahkyndong,bahkyndong,verb,word,12,0.975,no,pending,yes
65,n1906-001,65,1:simple-historical-word,kha-n1906-000101,bahryndang,bahryndang,verb,word,12,0.975,no,pending,yes
66,n1906-001,66,1:simple-historical-word,kha-n1906-000105,baiong,baiong,verb,word,12,0.975,no,pending,yes
67,n1906-001,67,1:simple-historical-word,kha-n1906-000108,bajawalla,bajawalla,noun,word,13,0.975,no,pending,yes
68,n1906-001,68,1:simple-historical-word,kha-n1906-003851,bajikor,bajikor,noun,word,271,0.975,no,pending,yes
69,n1906-001,69,1:simple-historical-word,kha-n1906-000110,bajuhon,bajuhon,noun,word,13,0.975,no,pending,yes
70,n1906-001,70,1:simple-historical-word,kha-n1906-000087,bak,bak,adverb,word,11,0.975,no,pending,yes
71,n1906-001,71,1:simple-historical-word,kha-n1906-000089,bakha,bakha,noun,word,11,0.975,no,pending,yes
72,n1906-001,72,1:simple-historical-word,kha-n1906-000090,bakhraw,bakhraw,adjective,word,11,0.975,no,pending,yes
73,n1906-001,73,1:simple-historical-word,kha-n1906-000092,bakla,bakla,verb,word,11,0.950,no,pending,yes
74,n1906-001,74,1:simple-historical-word,kha-n1906-000111,balei,balei,adverb,word,13,0.975,no,pending,yes
75,n1906-001,75,1:simple-historical-word,kha-n1906-000114,bambriew,bambriew,adjective,word,13,0.975,no,pending,yes
76,n1906-001,76,1:simple-historical-word,kha-n1906-000125,bamon,bamon,noun,word,13,0.975,no,pending,yes
77,n1906-001,77,1:simple-historical-word,kha-n1906-000126,bamplan,bamplan,verb,word,13,0.975,no,pending,yes
78,n1906-001,78,1:simple-historical-word,kha-n1906-000127,bamram,bamram,verb,word,13,0.975,no,pending,yes
79,n1906-001,79,1:simple-historical-word,kha-n1906-000128,bamsap,bamsap,verb,word,14,0.975,no,pending,yes
80,n1906-001,80,1:simple-historical-word,kha-n1906-000130,bamsih,bamsih,verb,word,14,0.975,no,pending,yes
81,n1906-001,81,1:simple-historical-word,kha-n1906-000131,bamtyngka,bamtyngka,verb,word,14,0.975,no,pending,yes
82,n1906-001,82,1:simple-historical-word,kha-n1906-000134,banat,banat,noun,word,14,0.975,no,pending,yes
83,n1906-001,83,1:simple-historical-word,kha-n1906-000136,bandari,bandari,noun,word,14,0.975,no,pending,yes
84,n1906-001,84,1:simple-historical-word,kha-n1906-000137,bandobos,bandobos,verb,word,14,0.975,no,pending,yes
85,n1906-001,85,1:simple-historical-word,kha-n1906-000096,bang,bang,adjective,word,11,0.975,no,pending,yes
86,n1906-001,86,1:simple-historical-word,kha-n1906-000138,bania,bania,noun,word,14,0.975,no,pending,yes
87,n1906-001,87,1:simple-historical-word,kha-n1906-000139,banse,banse,verb,word,14,0.975,no,pending,yes
88,n1906-001,88,1:simple-historical-word,kha-n1906-000141,baphoi,baphoi,adjective,word,14,0.975,no,pending,yes
89,n1906-001,89,1:simple-historical-word,kha-n1906-000142,bapli,bapli,adjective,word,14,0.975,no,pending,yes
90,n1906-001,90,1:simple-historical-word,kha-n1906-000144,baranda,baranda,noun,word,15,0.975,no,pending,yes
91,n1906-001,91,1:simple-historical-word,kha-n1906-000145,barandi,barandi,noun,word,15,0.975,no,pending,yes
92,n1906-001,92,1:simple-historical-word,kha-n1906-000146,barobor,barobor,adverb,word,15,0.975,no,pending,yes
93,n1906-001,93,1:simple-historical-word,kha-n1906-000147,baroh,baroh,adjective,word,15,0.975,no,pending,yes
94,n1906-001,94,1:simple-historical-word,kha-n1906-000148,basa,basa,noun,word,15,0.975,no,pending,yes
95,n1906-001,95,1:simple-historical-word,kha-n1906-000150,bashala,bashala,adjective,word,15,0.975,no,pending,yes
96,n1906-001,96,1:simple-historical-word,kha-n1906-000151,bashia,bashia,adjective,word,15,0.975,no,pending,yes
97,n1906-001,97,1:simple-historical-word,kha-n1906-000152,bashla,bashla,verb,word,15,0.975,no,pending,yes
98,n1906-001,98,1:simple-historical-word,kha-n1906-000155,batai,batai,verb,word,15,0.975,no,pending,yes
99,n1906-001,99,1:simple-historical-word,kha-n1906-002910,batap,batap,noun,word,203,0.975,no,pending,yes
100,n1906-001,100,1:simple-historical-word,kha-n1906-000156,batip,batip,adverb,word,15,0.975,no,pending,yes
101,n1906-002,1,1:simple-historical-word,kha-n1906-000169,bcr,bcr,adverb,word,16,0.975,no,pending,yes
102,n1906-002,2,1:simple-historical-word,kha-n1906-002946,bdien,bdien,verb,word,206,0.975,no,pending,yes
103,n1906-002,3,1:simple-historical-word,kha-n1906-000158,behbeiii,behbeiii,verb,word,15,0.975,no,pending,yes
104,n1906-002,4,1:simple-historical-word,kha-n1906-000160,behdiengkhlam,behdiengkhlam,noun,word,15,0.975,no,pending,yes
105,n1906-002,5,1:simple-historical-word,kha-n1906-000161,behmrad,behmrad,verb,word,15,0.975,no,pending,yes
106,n1906-002,6,1:simple-historical-word,kha-n1906-000162,behnongshohnoh,behnongshohnoh,verb,word,16,0.975,no,pending,yes
107,n1906-002,7,1:simple-historical-word,kha-n1906-000163,behsbai,behsbai,verb,word,16,0.975,no,pending,yes
108,n1906-002,8,1:simple-historical-word,kha-n1906-000164,behshnong,behshnong,verb,word,16,0.975,no,pending,yes
109,n1906-002,9,1:simple-historical-word,kha-n1906-000165,behshoh,behshoh,verb,word,16,0.975,no,pending,yes
110,n1906-002,10,1:simple-historical-word,kha-n1906-000167,beit,beit,adjective,word,16,0.975,no,pending,yes
111,n1906-002,11,1:simple-historical-word,kha-n1906-000172,bha,bha,adverb,word,16,0.975,no,pending,yes
112,n1906-002,12,1:simple-historical-word,kha-n1906-000173,bhabriew,bhabriew,adjective,word,16,0.975,no,pending,yes
113,n1906-002,13,1:simple-historical-word,kha-n1906-000174,bhah,bhah,noun,word,16,0.975,no,pending,yes
114,n1906-002,14,1:simple-historical-word,kha-n1906-003019,bhalyntem,bhalyntem,noun,word,210,0.975,no,pending,yes
115,n1906-002,15,1:simple-historical-word,kha-n1906-000175,bhamet,bhamet,adjective,word,16,0.975,no,pending,yes
116,n1906-002,16,1:simple-historical-word,kha-n1906-003023,bhan,bhan,verb,word,210,0.975,no,pending,yes
117,n1906-002,17,1:simple-historical-word,kha-n1906-000179,bhur,bhur,noun,word,17,0.975,no,pending,yes
118,n1906-002,18,1:simple-historical-word,kha-n1906-000183,biahphongrai,biahphongrai,verb,word,17,0.975,no,pending,yes
119,n1906-002,19,1:simple-historical-word,kha-n1906-000181,biang,biang,adjective,word,17,0.975,no,pending,yes
120,n1906-002,20,1:simple-historical-word,kha-n1906-000182,biangbiang,biangbiang,adverb,word,17,0.975,no,pending,yes
121,n1906-002,21,1:simple-historical-word,kha-n1906-000185,biar,biar,noun,word,17,0.975,no,pending,yes
122,n1906-002,22,1:simple-historical-word,kha-n1906-000186,bieit,bieit,adjective,word,18,0.975,no,pending,yes
123,n1906-002,23,1:simple-historical-word,kha-n1906-001248,biengpyngkiang,biengpyngkiang,noun,word,78,0.975,no,pending,yes
124,n1906-002,24,1:simple-historical-word,kha-n1906-001254,biengshankhung,biengshankhung,noun,word,79,0.975,no,pending,yes
125,n1906-002,25,1:simple-historical-word,kha-n1906-000187,bih,bih,noun,word,18,0.975,no,pending,yes
126,n1906-002,26,1:simple-historical-word,kha-n1906-000258,biiid,biiid,adjective,word,22,0.975,no,pending,yes
127,n1906-002,27,1:simple-historical-word,kha-n1906-000261,biin,biin,adjective,word,22,0.975,no,pending,yes
128,n1906-002,28,1:simple-historical-word,kha-n1906-000188,bijar,bijar,adjective,word,18,0.975,no,pending,yes
129,n1906-002,29,1:simple-historical-word,kha-n1906-000190,biria,biria,adverb,word,18,0.975,no,pending,yes
130,n1906-002,30,1:simple-historical-word,kha-n1906-000192,bishar,bishar,verb,word,18,0.975,no,pending,yes
131,n1906-002,31,1:simple-historical-word,kha-n1906-000193,bishni,bishni,verb,word,18,0.975,no,pending,yes
132,n1906-002,32,1:simple-historical-word,kha-n1906-000194,bit,bit,adjective,word,18,0.975,no,pending,yes
133,n1906-002,33,1:simple-historical-word,kha-n1906-000195,bitar,bitar,adjective,word,18,0.975,no,pending,yes
134,n1906-002,34,1:simple-historical-word,kha-n1906-000197,blait,blait,adverb,word,18,0.975,no,pending,yes
135,n1906-002,35,1:simple-historical-word,kha-n1906-000198,blang,blang,noun,word,18,0.975,no,pending,yes
136,n1906-002,36,1:simple-historical-word,kha-n1906-000196,bldd,bldd,adjective,word,18,0.975,no,pending,yes
137,n1906-002,37,1:simple-historical-word,kha-n1906-000203,bluit,bluit,adverb,word,19,0.975,no,pending,yes
138,n1906-002,38,1:simple-historical-word,kha-n1906-000204,blur,blur,adverb,word,19,0.975,no,pending,yes
139,n1906-002,39,1:simple-historical-word,kha-n1906-002769,bmiang,bmiang,noun,word,194,0.975,no,pending,yes
140,n1906-002,40,1:simple-historical-word,kha-n1906-000205,bnai,bnai,noun,word,19,0.975,no,pending,yes
141,n1906-002,41,1:simple-historical-word,kha-n1906-000206,bnoh,bnoh,noun,word,19,0.975,no,pending,yes
142,n1906-002,42,1:simple-historical-word,kha-n1906-000208,bohkhaila,bohkhaila,noun,word,19,0.975,no,pending,yes
143,n1906-002,43,1:simple-historical-word,kha-n1906-000211,boit,boit,noun,word,19,0.975,no,pending,yes
144,n1906-002,44,1:simple-historical-word,kha-n1906-000214,borkyndat,borkyndat,noun,word,20,0.975,no,pending,yes
145,n1906-002,45,1:simple-historical-word,kha-n1906-001323,bpei,bpei,noun,word,83,0.975,no,pending,yes
146,n1906-002,46,1:simple-historical-word,kha-n1906-000215,brai,brai,verb,word,20,0.975,no,pending,yes
147,n1906-002,47,1:simple-historical-word,kha-n1906-000217,bram,bram,adjective,word,20,0.975,no,pending,yes
148,n1906-002,48,1:simple-historical-word,kha-n1906-000218,bred,bred,verb,word,20,0.975,no,pending,yes
149,n1906-002,49,1:simple-historical-word,kha-n1906-000221,bri,bri,noun,word,20,0.975,no,pending,yes
150,n1906-002,50,1:simple-historical-word,kha-n1906-000222,bria,bria,adverb,word,20,0.975,no,pending,yes
151,n1906-002,51,1:simple-historical-word,kha-n1906-000223,brin,brin,adverb,word,20,0.975,no,pending,yes
152,n1906-002,52,1:simple-historical-word,kha-n1906-000224,brisoh,brisoh,noun,word,20,0.975,no,pending,yes
153,n1906-002,53,1:simple-historical-word,kha-n1906-000225,broh,broh,adverb,word,20,0.975,no,pending,yes
154,n1906-002,54,1:simple-historical-word,kha-n1906-000226,brop,brop,adverb,word,20,0.975,no,pending,yes
155,n1906-002,55,1:simple-historical-word,kha-n1906-000228,brot,brot,noun,word,20,0.975,no,pending,yes
156,n1906-002,56,1:simple-historical-word,kha-n1906-000216,brtii,brtii,adverb,word,20,0.975,no,pending,yes
157,n1906-002,57,1:simple-historical-word,kha-n1906-000229,bruin,bruin,adverb,word,20,0.975,no,pending,yes
158,n1906-002,58,1:simple-historical-word,kha-n1906-000231,bseifi,bseifi,noun,word,21,0.975,no,pending,yes
159,n1906-002,59,1:simple-historical-word,kha-n1906-000232,bsiang,bsiang,noun,word,21,0.975,no,pending,yes
160,n1906-002,60,1:simple-historical-word,kha-n1906-000233,bsiap,bsiap,verb,word,21,0.975,no,pending,yes
161,n1906-002,61,1:simple-historical-word,kha-n1906-000236,bsong,bsong,noun,word,21,0.975,no,pending,yes
162,n1906-002,62,1:simple-historical-word,kha-n1906-000237,btai,btai,adjective,word,21,0.975,no,pending,yes
163,n1906-002,63,1:simple-historical-word,kha-n1906-000238,btat,btat,adverb,word,21,0.975,no,pending,yes
164,n1906-002,64,1:simple-historical-word,kha-n1906-000239,btet,btet,adjective,word,21,0.975,no,pending,yes
165,n1906-002,65,1:simple-historical-word,kha-n1906-000240,bther,bther,adverb,word,21,0.975,no,pending,yes
166,n1906-002,66,1:simple-historical-word,kha-n1906-000241,bthi,bthi,adjective,word,21,0.975,no,pending,yes
167,n1906-002,67,1:simple-historical-word,kha-n1906-000242,bthing,bthing,noun,word,21,0.975,no,pending,yes
168,n1906-002,68,1:simple-historical-word,kha-n1906-000243,bthong,bthong,noun,word,21,0.975,no,pending,yes
169,n1906-002,69,1:simple-historical-word,kha-n1906-000244,btiar,btiar,verb,word,21,0.975,no,pending,yes
170,n1906-002,70,1:simple-historical-word,kha-n1906-000250,buhai,buhai,verb,word,22,0.975,no,pending,yes
171,n1906-002,71,1:simple-historical-word,kha-n1906-000252,buhbynda,buhbynda,verb,word,22,0.975,no,pending,yes
172,n1906-002,72,1:simple-historical-word,kha-n1906-000253,buhkam,buhkam,verb,word,22,0.975,no,pending,yes
173,n1906-002,73,1:simple-historical-word,kha-n1906-000254,buhkhoh,buhkhoh,adverb,word,22,0.975,no,pending,yes
174,n1906-002,74,1:simple-historical-word,kha-n1906-000255,buhrih,buhrih,verb,word,22,0.975,no,pending,yes
175,n1906-002,75,1:simple-historical-word,kha-n1906-000245,bukhir,bukhir,adjective,word,21,0.975,no,pending,yes
176,n1906-002,76,1:simple-historical-word,kha-n1906-000260,bula,bula,noun,word,22,0.975,no,pending,yes
177,n1906-002,77,1:simple-historical-word,kha-n1906-000263,bunshah,bunshah,adverb,word,22,0.975,no,pending,yes
178,n1906-002,78,1:simple-historical-word,kha-n1906-000264,bunsien,bunsien,adverb,word,22,0.975,no,pending,yes
179,n1906-002,79,1:simple-historical-word,kha-n1906-000265,buria,buria,verb,word,23,0.975,no,pending,yes
180,n1906-002,80,1:simple-historical-word,kha-n1906-000266,buskit,buskit,noun,word,23,0.975,no,pending,yes
181,n1906-002,81,1:simple-historical-word,kha-n1906-002813,bykhiang,bykhiang,adjective,word,196,0.975,no,pending,yes
182,n1906-002,82,1:simple-historical-word,kha-n1906-000267,byllai,byllai,adverb,word,23,0.975,no,pending,yes
183,n1906-002,83,1:simple-historical-word,kha-n1906-000268,bylliat,bylliat,noun,word,23,0.975,no,pending,yes
184,n1906-002,84,1:simple-historical-word,kha-n1906-000269,bylllen,bylllen,adverb,word,23,0.975,no,pending,yes
185,n1906-002,85,1:simple-historical-word,kha-n1906-000270,byllun,byllun,adverb,word,23,0.975,no,pending,yes
186,n1906-002,86,1:simple-historical-word,kha-n1906-000294,bymgut,bymgut,adjective,word,24,0.975,no,pending,yes
187,n1906-002,87,1:simple-historical-word,kha-n1906-000275,byna,byna,verb,word,23,0.975,no,pending,yes
188,n1906-002,88,1:simple-historical-word,kha-n1906-000276,byndi,byndi,noun,word,23,0.975,no,pending,yes
189,n1906-002,89,1:simple-historical-word,kha-n1906-000277,byndi,byndi,verb,word,23,0.975,no,pending,yes
190,n1906-002,90,1:simple-historical-word,kha-n1906-000278,byneng,byneng,noun,word,23,0.975,no,pending,yes
191,n1906-002,91,1:simple-historical-word,kha-n1906-002817,byngkat,byngkat,adverb,word,196,0.975,no,pending,yes
192,n1906-002,92,1:simple-historical-word,kha-n1906-002821,byngkhiang,byngkhiang,adjective,word,196,0.975,no,pending,yes
193,n1906-002,93,1:simple-historical-word,kha-n1906-000279,bynhei,bynhei,noun,word,23,0.975,no,pending,yes
194,n1906-002,94,1:simple-historical-word,kha-n1906-000280,byniap,byniap,noun,word,23,0.975,no,pending,yes
195,n1906-002,95,1:simple-historical-word,kha-n1906-000282,byniej,byniej,noun,word,24,0.975,no,pending,yes
196,n1906-002,96,1:simple-historical-word,kha-n1906-000283,byniiiaw,byniiiaw,adverb,word,24,0.975,no,pending,yes
197,n1906-002,97,1:simple-historical-word,kha-n1906-000285,bynniid,bynniid,verb,word,24,0.975,no,pending,yes
198,n1906-002,98,1:simple-historical-word,kha-n1906-000284,bynoh,bynoh,noun,word,24,0.975,no,pending,yes
199,n1906-002,99,1:simple-historical-word,kha-n1906-000286,bynrap,bynrap,verb,word,24,0.975,no,pending,yes
200,n1906-002,100,1:simple-historical-word,kha-n1906-000287,bynriew,bynriew,noun,word,24,0.975,no,pending,yes
201,n1906-003,1,1:simple-historical-word,kha-n1906-002834,bynsi,bynsi,noun,word,197,0.975,no,pending,yes
202,n1906-003,2,1:simple-historical-word,kha-n1906-002835,bynsied,bynsied,verb,word,197,0.975,no,pending,yes
203,n1906-003,3,1:simple-historical-word,kha-n1906-002836,bynsong,bynsong,noun,word,197,0.975,no,pending,yes
204,n1906-003,4,1:simple-historical-word,kha-n1906-000289,bynta,bynta,noun,word,24,0.975,no,pending,yes
205,n1906-003,5,1:simple-historical-word,kha-n1906-000290,bynthiew,bynthiew,verb,word,24,0.975,no,pending,yes
206,n1906-003,6,1:simple-historical-word,kha-n1906-000291,byrddw,byrddw,noun,word,24,0.975,no,pending,yes
207,n1906-003,7,1:simple-historical-word,kha-n1906-000296,byrhuin,byrhuin,adverb,word,24,0.975,no,pending,yes
208,n1906-003,8,1:simple-historical-word,kha-n1906-000299,byrnep,byrnep,adverb,word,24,0.975,no,pending,yes
209,n1906-003,9,1:simple-historical-word,kha-n1906-000292,byrngia,byrngia,adjective,word,24,0.975,no,pending,yes
210,n1906-003,10,1:simple-historical-word,kha-n1906-000293,byrngiang,byrngiang,adjective,word,24,0.975,no,pending,yes
211,n1906-003,11,1:simple-historical-word,kha-n1906-000300,byrni,byrni,noun,word,24,0.975,no,pending,yes
212,n1906-003,12,1:simple-historical-word,kha-n1906-000302,byrshem,byrshem,verb,word,25,0.975,no,pending,yes
213,n1906-003,13,1:simple-historical-word,kha-n1906-000303,byrship,byrship,adjective,word,25,0.975,no,pending,yes
214,n1906-003,14,1:simple-historical-word,kha-n1906-000304,byrsieh,byrsieh,adjective,word,25,0.975,no,pending,yes
215,n1906-003,15,1:simple-historical-word,kha-n1906-003471,byrtap,byrtap,noun,word,239,0.975,no,pending,yes
216,n1906-003,16,1:simple-historical-word,kha-n1906-000305,byrthap,byrthap,noun,word,25,0.975,no,pending,yes
217,n1906-003,17,1:simple-historical-word,kha-n1906-000306,byrthen,byrthen,verb,word,25,0.975,no,pending,yes
218,n1906-003,18,1:simple-historical-word,kha-n1906-000308,byrthit,byrthit,adjective,word,25,0.975,no,pending,yes
219,n1906-003,19,1:simple-historical-word,kha-n1906-000310,byrthup,byrthup,adjective,word,25,0.975,no,pending,yes
220,n1906-003,20,1:simple-historical-word,kha-n1906-000311,byrtia,byrtia,adjective,word,25,0.975,no,pending,yes
221,n1906-003,21,1:simple-historical-word,kha-n1906-000312,byrtong,byrtong,adverb,word,25,0.975,no,pending,yes
222,n1906-003,22,1:simple-historical-word,kha-n1906-000314,bythat,bythat,verb,word,25,0.975,no,pending,yes
223,n1906-003,23,1:simple-historical-word,kha-n1906-001152,dab,dab,noun,word,73,0.975,no,pending,yes
224,n1906-003,24,1:simple-historical-word,kha-n1906-001326,dabi,dabi,noun,word,83,0.975,no,pending,yes
225,n1906-003,25,1:simple-historical-word,kha-n1906-001153,dabia,dabia,noun,word,73,0.975,no,pending,yes
226,n1906-003,26,1:simple-historical-word,kha-n1906-001154,dabor,dabor,noun,word,73,0.975,no,pending,yes
227,n1906-003,27,1:simple-historical-word,kha-n1906-001158,dad,dad,adjective,word,73,0.975,no,pending,yes
228,n1906-003,28,1:simple-historical-word,kha-n1906-001159,dadien,dadien,adverb,word,73,0.975,no,pending,yes
229,n1906-003,29,1:simple-historical-word,kha-n1906-001164,daifidong,daifidong,verb,word,74,0.975,no,pending,yes
230,n1906-003,30,1:simple-historical-word,kha-n1906-001162,daiii,daiii,verb,word,73,0.975,no,pending,yes
231,n1906-003,31,1:simple-historical-word,kha-n1906-001156,dak,dak,noun,word,73,0.975,no,pending,yes
232,n1906-003,32,1:simple-historical-word,kha-n1906-001157,daka,daka,noun,word,73,0.975,no,pending,yes
233,n1906-003,33,1:simple-historical-word,kha-n1906-001170,dam,dam,adjective,word,74,0.975,no,pending,yes
234,n1906-003,34,1:simple-historical-word,kha-n1906-001171,dambit,dambit,verb,word,74,0.975,no,pending,yes
235,n1906-003,35,1:simple-historical-word,kha-n1906-001172,dana,dana,noun,word,74,0.975,no,pending,yes
236,n1906-003,36,1:simple-historical-word,kha-n1906-001173,danda,danda,adjective,word,74,0.975,no,pending,yes
237,n1906-003,37,1:simple-historical-word,kha-n1906-001160,dangkhie,dangkhie,adjective,word,73,0.975,no,pending,yes
238,n1906-003,38,1:simple-historical-word,kha-n1906-001174,dap,dap,adjective,word,74,0.975,no,pending,yes
239,n1906-003,39,1:simple-historical-word,kha-n1906-001176,dara,dara,noun,word,74,0.975,no,pending,yes
