record_id,headword_candidate,normalized,part_of_speech,entry_type,historical_gloss_raw,source_page_approx,ocr_confidence,review_priority,existing_master,verification_status,human_review_required
kha-n1906-002674,phikir,phikir,verb,word,"to be in earnest, to take pains to do a thing.",174,0.975,1,no,pending,yes
kha-n1906-002676,phir-phir,phir-phir,adverb,reduplication,"very (clean and white). Phira, v, to guard, to watch ; — n. u phira = a sentry. * Hittdi. fHITA PHORSHI Phla, V. to confess ; to admit.",174,0.975,1,no,pending,yes
kha-n1906-002677,phlang,phlang,noun,word,"grass. [Imit. u pWang-u kynbat.] Phlait, V. to slip, to miss ; — ad. right through (pierced), fas, ""u sam pynpei phlait la ka lyntang.""] Phlan, V. to flatter, to cheat, to pretend.",174,0.975,1,no,pending,yes
kha-n1906-002678,phldn-dumdn,phldn-dumdn,verb,compound,"to humbug. Phlkr, (pei-), «<^. right through (to pass). Phlei, V. to vomit, to disgorge, to flood, to blow profusely. Phl^r, «?. to get an abrasion, to come off (as skin). Phliat, V. to turn (the intestines) inside out. v ^ , Phlin phlin,^ | ad. very (slippery), [as, ""une u maw uba btuid Phl6in-phl6iii, J phlin phlin. ^'~\ Phloit, V. to come off, as a ring from the handle of a hatchet. Phl6r, V. to become loose and fall off (said of a ring).",174,0.975,1,no,pending,yes
kha-n1906-002679,phluit,phluit,adverb,word,"suddenly (come out), [as, *' u kak u mih kynsan phluit nau bitor.""] Phna, V. to fasten a door with two cross-bolts, thus x .",175,0.975,1,no,pending,yes
kha-n1906-002668,phngdr,phngdr,adverb,word,"extremely, (as, '*uba la sia.ii J>hngar u mrad "").",174,0.975,1,no,pending,yes
kha-n1906-002669,phngit,phngit,noun,word,"flying cinders or other particles, atoms. Phng6it, V. to peep so that the head only can be seen. Pbnguid, V. to eat gluttonously. Phi, {per. pro. 2nd person), you.",174,0.975,1,no,pending,yes
kha-n1906-002681,phnian,phnian,verb,word,"to stow \ to stuff, to cram. PhSaiii-phnain, (rit-), ad. very (fine), [as,",175,0.975,1,no,pending,yes
kha-n1906-002680,phniang,phniang,noun,word,a small seed.,175,0.975,1,no,pending,yes
kha-n1906-002683,phnieng,phnieng,verb,word,"to raise the bolt of a trap so as to make it ready to entrap animals or birds ; to set a trap. Phong, V. to put on (as a coat or shoe) ; — w, n. a kind of reed, the inside of which is as soft as a cork.",175,0.950,1,no,pending,yes
kha-n1906-002684,phohsniew,phohsniew,verb,word,to dream.,175,0.975,1,no,pending,yes
kha-n1906-002685,phohsniew kynsha,phohsniew kynsha,verb,phrase,"to have bad dreams. Phoi, V. to be offended, to find fault with ; to be captious.",175,0.975,1,no,pending,yes
kha-n1906-002687,phoidari,phoidari,noun,word,"a criminal case. Ph6in, ad. entirely (finish); [as, '* u lah ba'n b^m phoin ar pliang ka doh.""] Phon, V. to cook for a long time, (as bones, etc) ; to entrap, entice. \lmit. phon-pah.] Phorshi (same as pharshi). 168 ^HOT PHtrif5.PHlJl5J",175,0.975,1,no,pending,yes
kha-n1906-002686,phoikynsha,phoikynsha,verb,word,unreasonably captious.,175,0.975,1,no,pending,yes
kha-n1906-002688,phot,phot,adjective,word,"cutting, sharp ;— ?;. to get an intertrigo.",175,0.975,1,no,pending,yes
kha-n1906-002689,phra,phra,adjective,word,"eight. Phrak-phrak, (kren-), ad. straight-forwardly, [as, "" uK u long u briew uba 'kven phrak />hrak.""]",175,0.975,1,no,pending,yes
kha-n1906-002692,phrah,phrah,noun,word,"plaited bamboo work ; — 'Z'. to obstruct tbe d<J0rway etc., by planting cross-sticks. Phreit, n, a small migratory bird (very depredatory to paddy and Italian maize). Phret, V. to be broken to pieces, to be crushed into powder or small pieces. Phrew, V. to play with a small bundle of sticks ; — ad. iu all directions (scatter).",175,0.975,1,no,pending,yes
kha-n1906-002690,phrang,phrang,noun,word,the front ; — v. to temper an iron; to test.,175,0.975,1,no,pending,yes
